Timestamp,Umidade,Temp1,Temp2
2025/12/07 06:30:53;42,00;20,53;19,10
2025/12/07 06:35:55;43,00;20,04;19,10
2025/12/07 06:40:56;43,00;20,04;19,10
2025/12/07 06:45:58;42,00;20,04;19,10
2025/12/07 06:50:59;43,00;20,04;19,58
2025/12/07 06:55:31;42,00;20,53;19,58
2025/12/07 07:00:32;42,00;21,02;20,07
2025/12/07 07:05:34;42,00;21,02;20,07
2025/12/07 07:10:36;42,00;21,02;20,07
2025/12/07 07:15:37;42,00;21,02;20,07
2025/12/07 07:20:39;42,00;21,02;20,07
2025/12/07 07:25:40;42,00;21,51;23,98
2025/12/07 07:30:42;42,00;22,48;27,40
2025/12/07 07:35:43;43,00;22,97;26,43
2025/12/07 07:40:45;42,00;23,46;24,96
2025/12/07 07:45:46;43,00;24,44;25,45
2025/12/07 07:50:48;43,00;25,42;25,94
2025/12/07 07:55:49;43,00;26,88;27,40
2025/12/07 08:00:50;43,00;27,37;27,89
2025/12/07 08:05:51;42,00;28,35;28,87
2025/12/07 08:10:53;43,00;28,35;28,87
2025/12/07 08:15:54;43,00;26,88;27,40
2025/12/07 08:20:55;43,00;26,88;27,89
2025/12/07 08:25:56;43,00;27,86;28,87
2025/12/07 08:30:58;43,00;27,86;28,87
2025/12/07 08:35:59;43,00;28,35;29,36
2025/12/07 08:40:30;44,00;30,30;30,34
2025/12/07 08:45:31;44,00;30,30;30,83
2025/12/07 08:50:32;44,00;30,79;31,80
2025/12/07 08:55:33;44,00;30,79;31,31
2025/12/07 09:00:34;44,00;30,79;31,31
2025/12/07 09:05:35;45,00;31,28;31,31
2025/12/07 09:10:36;44,00;31,77;32,29
2025/12/07 09:15:37;45,00;32,26;32,78
2025/12/07 09:20:38;45,00;32,26;33,27
2025/12/07 09:25:39;46,00;32,26;33,76
2025/12/07 09:30:40;46,00;31,28;34,25
2025/12/07 09:35:41;46,00;32,75;33,27
2025/12/07 09:40:42;47,00;32,75;34,25
2025/12/07 09:45:43;47,00;32,75;33,76
2025/12/07 09:50:44;47,00;32,75;34,74
2025/12/07 09:55:45;47,00;32,75;34,25
2025/12/07 10:00:46;46,00;32,26;32,78
